data,fascia_anagrafica,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,vaccinati_totale,sesso_maschile_totale,sesso_femminile_totale,operatori_sanitari_totale,personale_non_sanitario_totale,ospiti_rsa_totale
2020-12-27,16-19,50,37,13,50,0,0,50,37,13,50,0,0
2020-12-27,20-29,678,237,441,627,50,1,678,237,441,627,50,1
2020-12-27,30-39,1083,485,598,1019,64,0,1083,485,598,1019,64,0
2020-12-27,40-49,1496,572,924,1366,126,4,1496,572,924,1366,126,4
2020-12-27,50-59,2219,964,1255,2026,174,19,2219,964,1255,2026,174,19
2020-12-27,60-69,1578,1134,444,1449,98,31,1578,1134,444,1449,98,31
2020-12-27,70-79,122,79,43,38,8,76,122,79,43,38,8,76
2020-12-27,80-89,119,28,91,2,1,116,119,28,91,2,1,116
2020-12-27,90+,75,13,62,1,0,74,75,13,62,1,0,74
2020-12-28,16-19,0,0,0,0,0,0,50,37,13,50,0,0
2020-12-28,20-29,157,73,84,151,6,0,835,310,525,778,56,1
2020-12-28,30-39,262,123,139,250,12,0,1345,608,737,1269,76,0
2020-12-28,40-49,320,121,199,303,17,0,1816,693,1123,1669,143,4
2020-12-28,50-59,367,153,214,348,19,0,2586,1117,1469,2374,193,19
2020-12-28,60-69,215,136,79,198,17,0,1793,1270,523,1647,115,31
2020-12-28,70-79,0,0,0,0,0,0,122,79,43,38,8,76
2020-12-28,80-89,1,1,0,0,1,0,120,29,91,2,2,116
2020-12-28,90+,0,0,0,0,0,0,75,13,62,1,0,74
2020-12-29,16-19,1,1,0,0,1,0,51,38,13,50,1,0
2020-12-29,20-29,94,32,62,93,1,0,929,342,587,871,57,1
2020-12-29,30-39,252,108,144,238,14,0,1597,716,881,1507,90,0
2020-12-29,40-49,253,105,148,235,18,0,2069,798,1271,1904,161,4
2020-12-29,50-59,353,123,230,316,37,0,2939,1240,1699,2690,230,19
2020-12-29,60-69,197,134,63,188,9,0,1990,1404,586,1835,124,31
2020-12-29,70-79,9,4,5,4,2,3,131,83,48,42,10,79
2020-12-29,80-89,9,1,8,0,0,9,129,30,99,2,2,125
2020-12-29,90+,9,1,8,0,0,9,84,14,70,1,0,83
2020-12-30,16-19,2,2,0,0,0,2,53,40,13,50,1,2
2020-12-30,20-29,485,197,288,444,33,8,1414,539,875,1315,90,9
2020-12-30,30-39,887,382,505,850,28,9,2484,1098,1386,2357,118,9
2020-12-30,40-49,1220,440,780,1157,50,13,3289,1238,2051,3061,211,17
2020-12-30,50-59,1261,476,785,1160,85,16,4200,1716,2484,3850,315,35
2020-12-30,60-69,565,328,237,511,27,27,2555,1732,823,2346,151,58
2020-12-30,70-79,92,52,40,28,0,64,223,135,88,70,10,143
2020-12-30,80-89,144,37,107,2,0,142,273,67,206,4,2,267
2020-12-30,90+,80,12,68,0,0,80,164,26,138,1,0,163
2020-12-31,16-19,9,4,5,4,4,1,62,44,18,54,5,3
2020-12-31,20-29,2185,729,1456,2062,115,8,3599,1268,2331,3377,205,17
2020-12-31,30-39,4031,1665,2366,3789,231,11,6515,2763,3752,6146,349,20
2020-12-31,40-49,5318,1772,3546,4902,379,37,8607,3010,5597,7963,590,54
2020-12-31,50-59,6706,2375,4331,6020,592,94,10906,4091,6815,9870,907,129
2020-12-31,60-69,3341,2013,1328,2876,266,199,5896,3745,2151,5222,417,257
2020-12-31,70-79,516,236,280,91,7,418,739,371,368,161,17,561
2020-12-31,80-89,931,230,701,12,0,919,1204,297,907,16,2,1186
2020-12-31,90+,697,72,625,1,2,694,861,98,763,2,2,857
2021-01-01,16-19,5,2,3,2,2,1,67,46,21,56,7,4
2021-01-01,20-29,1121,366,755,1095,25,1,4720,1634,3086,4472,230,18
2021-01-01,30-39,1919,775,1144,1852,60,7,8434,3538,4896,7998,409,27
2021-01-01,40-49,2570,878,1692,2476,83,11,11177,3888,7289,10439,673,65
2021-01-01,50-59,3211,1215,1996,3011,166,34,14117,5306,8811,12881,1073,163
2021-01-01,60-69,1475,852,623,1324,101,50,7371,4597,2774,6546,518,307
2021-01-01,70-79,159,92,67,41,3,115,898,463,435,202,20,676
2021-01-01,80-89,316,74,242,9,0,307,1520,371,1149,25,2,1493
2021-01-01,90+,292,47,245,12,1,279,1153,145,1008,14,3,1136
2021-01-02,16-19,51,15,36,28,13,10,118,61,57,84,20,14
2021-01-02,20-29,4066,1374,2692,3822,222,22,8786,3008,5778,8294,452,40
2021-01-02,30-39,6842,2786,4056,6465,354,23,15276,6324,8952,14463,763,50
2021-01-02,40-49,8807,3008,5799,8259,516,32,19984,6896,13088,18698,1189,97
2021-01-02,50-59,10698,3939,6759,9796,817,85,24815,9245,15570,22677,1890,248
2021-01-02,60-69,5896,3509,2387,5218,501,177,13267,8106,5161,11764,1019,484
2021-01-02,70-79,584,333,251,178,51,355,1482,796,686,380,71,1031
2021-01-02,80-89,849,220,629,22,20,807,2369,591,1778,47,22,2300
2021-01-02,90+,642,92,550,7,15,620,1795,237,1558,21,18,1756
2021-01-03,16-19,18,10,8,12,6,0,136,71,65,96,26,14
2021-01-03,20-29,3891,1280,2611,3652,232,7,12677,4288,8389,11946,684,47
2021-01-03,30-39,6028,2488,3540,5691,324,13,21304,8812,12492,20154,1087,63
2021-01-03,40-49,7939,2692,5247,7362,544,33,27923,9588,18335,26060,1733,130
2021-01-03,50-59,9895,3474,6421,9105,709,81,34710,12719,21991,31782,2599,329
2021-01-03,60-69,5331,3135,2196,4800,396,135,18598,11241,7357,16564,1415,619
2021-01-03,70-79,519,318,201,196,42,281,2001,1114,887,576,113,1312
2021-01-03,80-89,618,181,437,12,25,581,2987,772,2215,59,47,2881
2021-01-03,90+,490,61,429,4,16,470,2285,298,1987,25,34,2226
2021-01-04,16-19,63,21,42,44,18,1,199,92,107,140,44,15
2021-01-04,20-29,6942,2417,4525,6391,545,6,19619,6705,12914,18337,1229,53
2021-01-04,30-39,12230,5097,7133,11291,914,25,33534,13909,19625,31445,2001,88
2021-01-04,40-49,15234,5072,10162,13752,1440,42,43157,14660,28497,39812,3173,172
2021-01-04,50-59,19945,6932,13013,17570,2229,146,54655,19651,35004,49352,4828,475
2021-01-04,60-69,10569,6017,4552,9293,1001,275,29167,17258,11909,25857,2416,894
2021-01-04,70-79,1018,618,400,351,83,584,3019,1732,1287,927,196,1896
2021-01-04,80-89,1513,400,1113,53,75,1385,4500,1172,3328,112,122,4266
2021-01-04,90+,1155,172,983,27,52,1076,3440,470,2970,52,86,3302
2021-01-05,16-19,91,33,58,69,22,0,290,125,165,209,66,15
2021-01-05,20-29,7661,2580,5081,6953,697,11,27280,9285,17995,25290,1926,64
2021-01-05,30-39,13515,5386,8129,12143,1352,20,47049,19295,27754,43588,3353,108
2021-01-05,40-49,17314,5750,11564,15237,2022,55,60471,20410,40061,55049,5195,227
2021-01-05,50-59,22697,7835,14862,19561,2955,181,77352,27486,49866,68913,7783,656
2021-01-05,60-69,12660,6937,5723,10755,1516,389,41827,24195,17632,36612,3932,1283
2021-01-05,70-79,1394,838,556,474,160,760,4413,2570,1843,1401,356,2656
2021-01-05,80-89,1898,559,1339,41,126,1731,6398,1731,4667,153,248,5997
2021-01-05,90+,1571,249,1322,17,98,1456,5011,719,4292,69,184,4758
2021-01-06,16-19,98,39,59,71,26,1,388,164,224,280,92,16
2021-01-06,20-29,7401,2531,4870,6491,874,36,34681,11816,22865,31781,2800,100
2021-01-06,30-39,10958,4396,6562,9643,1268,47,58007,23691,34316,53231,4621,155
2021-01-06,40-49,13137,4318,8819,11402,1640,95,73608,24728,48880,66451,6835,322
2021-01-06,50-59,17561,5934,11627,14837,2527,197,94913,33420,61493,83750,10310,853
2021-01-06,60-69,10987,6161,4826,9328,1367,292,52814,30356,22458,45940,5299,1575
2021-01-06,70-79,1528,999,529,685,260,583,5941,3569,2372,2086,616,3239
2021-01-06,80-89,1533,433,1100,74,114,1345,7931,2164,5767,227,362,7342
2021-01-06,90+,1235,183,1052,25,77,1133,6246,902,5344,94,261,5891
2021-01-07,16-19,119,47,72,89,24,6,507,211,296,369,116,22
2021-01-07,20-29,8812,2897,5915,7856,943,13,43493,14713,28780,39637,3743,113
2021-01-07,30-39,14829,5719,9110,13065,1740,24,72836,29410,43426,66296,6361,179
2021-01-07,40-49,19499,6116,13383,16713,2703,83,93107,30844,62263,83164,9538,405
2021-01-07,50-59,26129,8672,17457,21751,4134,244,121042,42092,78950,105501,14444,1097
2021-01-07,60-69,13980,7249,6731,11514,2011,455,66794,37605,29189,57454,7310,2030
2021-01-07,70-79,2163,1309,854,671,313,1179,8104,4878,3226,2757,929,4418
2021-01-07,80-89,3199,838,2361,81,190,2928,11130,3002,8128,308,552,10270
2021-01-07,90+,2429,345,2084,22,101,2306,8675,1247,7428,116,362,8197
2021-01-08,16-19,125,46,79,86,37,2,632,257,375,455,153,24
2021-01-08,20-29,9828,3332,6496,8377,1413,38,53321,18045,35276,48014,5156,151
2021-01-08,30-39,14748,5518,9230,12530,2160,58,87584,34928,52656,78826,8521,237
2021-01-08,40-49,19515,6191,13324,16101,3262,152,112622,37035,75587,99265,12800,557
2021-01-08,50-59,25731,8162,17569,20772,4612,347,146773,50254,96519,126273,19056,1444
2021-01-08,60-69,13712,6996,6716,10881,2230,601,80506,44601,35905,68335,9540,2631
2021-01-08,70-79,2405,1500,905,854,394,1157,10509,6378,4131,3611,1323,5575
2021-01-08,80-89,2956,833,2123,88,154,2714,14086,3835,10251,396,706,12984
2021-01-08,90+,2233,307,1926,8,76,2149,10908,1554,9354,124,438,10346
2021-01-09,16-19,245,99,146,159,84,2,877,356,521,614,237,26
2021-01-09,20-29,9373,3200,6173,7617,1732,24,62694,21245,41449,55631,6888,175
2021-01-09,30-39,13143,5128,8015,10737,2333,73,100727,40056,60671,89563,10854,310
2021-01-09,40-49,16526,5473,11053,12979,3334,213,129148,42508,86640,112244,16134,770
2021-01-09,50-59,22338,7692,14646,17334,4605,399,169111,57946,111165,143607,23661,1843
2021-01-09,60-69,15286,8389,6897,12315,2314,657,95792,52990,42802,80650,11854,3288
2021-01-09,70-79,2720,1724,996,1078,526,1116,13229,8102,5127,4689,1849,6691
2021-01-09,80-89,2937,873,2064,99,218,2620,17023,4708,12315,495,924,15604
2021-01-09,90+,2153,347,1806,35,109,2009,13061,1901,11160,159,547,12355
2021-01-10,16-19,338,154,184,197,115,26,1215,510,705,811,352,52
2021-01-10,20-29,7932,2896,5036,6267,1609,56,70626,24141,46485,61898,8497,231
2021-01-10,30-39,9695,3853,5842,7670,1980,45,110422,43909,66513,97233,12834,355
2021-01-10,40-49,11686,3925,7761,8786,2838,62,140834,46433,94401,121030,18972,832
2021-01-10,50-59,15270,5364,9906,11400,3752,118,184381,63310,121071,155007,27413,1961
2021-01-10,60-69,9797,5326,4471,7678,1885,234,105589,58316,47273,88328,13739,3522
2021-01-10,70-79,1959,1303,656,969,492,498,15188,9405,5783,5658,2341,7189
2021-01-10,80-89,1639,530,1109,122,203,1314,18662,5238,13424,617,1127,16918
2021-01-10,90+,1134,210,924,67,77,990,14195,2111,12084,226,624,13345
2021-01-11,16-19,297,101,196,229,67,1,1512,611,901,1040,419,53
2021-01-11,20-29,8660,2933,5727,6945,1665,50,79286,27074,52212,68843,10162,281
2021-01-11,30-39,11202,4310,6892,9009,2105,88,121624,48219,73405,106242,14939,443
2021-01-11,40-49,15307,4745,10562,11805,3370,132,156141,51178,104963,132835,22342,964
2021-01-11,50-59,20564,6464,14100,15367,4921,276,204945,69774,135171,170374,32334,2237
2021-01-11,60-69,11211,5654,5557,8240,2461,510,116800,63970,52830,96568,16200,4032
2021-01-11,70-79,2647,1628,1019,994,564,1089,17835,11033,6802,6652,2905,8278
2021-01-11,80-89,3412,1015,2397,128,466,2818,22074,6253,15821,745,1593,19736
2021-01-11,90+,2263,378,1885,49,110,2104,16458,2489,13969,275,734,15449
2021-01-12,16-19,204,76,128,148,53,3,1716,687,1029,1188,472,56
2021-01-12,20-29,8835,3186,5649,7050,1724,61,88121,30260,57861,75893,11886,342
2021-01-12,30-39,11120,4325,6795,8634,2418,68,132744,52544,80200,114876,17357,511
2021-01-12,40-49,15021,4678,10343,11228,3622,171,171162,55856,115306,144063,25964,1135
2021-01-12,50-59,19649,6114,13535,14224,5132,293,224594,75888,148706,184598,37466,2530
