data_somministrazione,area,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,vaccinati_totale,sesso_maschile_totale,sesso_femminile_totale,operatori_sanitari_totale,personale_non_sanitario_totale,ospiti_rsa_totale
2020-12-27,ABR,135,71,64,115,18,2,135,71,64,115,18,2
2021-01-02,ABR,550,218,332,545,5,0,685,289,396,660,23,2
2021-01-03,ABR,564,219,345,556,8,0,1249,508,741,1216,31,2
2021-01-04,ABR,1411,578,833,1406,5,0,2660,1086,1574,2622,36,2
2021-01-05,ABR,1617,604,1013,1607,10,0,4277,1690,2587,4229,46,2
2021-01-06,ABR,1720,646,1074,1554,33,133,5997,2336,3661,5783,79,135
2021-01-07,ABR,1716,572,1144,1679,37,0,7713,2908,4805,7462,116,135
2021-01-08,ABR,1638,539,1099,1596,42,0,9351,3447,5904,9058,158,135
2021-01-09,ABR,1483,565,918,1428,55,0,10834,4012,6822,10486,213,135
2021-01-10,ABR,1123,403,720,1083,40,0,11957,4415,7542,11569,253,135
2021-01-11,ABR,1507,539,968,1351,124,32,13464,4954,8510,12920,377,167
2021-01-12,ABR,1964,644,1320,1627,242,95,15428,5598,9830,14547,619,262
2020-12-27,BAS,208,83,125,208,0,0,208,83,125,208,0,0
2021-01-02,BAS,885,356,529,837,48,0,1093,439,654,1045,48,0
2021-01-03,BAS,723,288,435,717,6,0,1816,727,1089,1762,54,0
2021-01-04,BAS,407,190,217,352,55,0,2223,917,1306,2114,109,0
2021-01-05,BAS,648,262,386,619,29,0,2871,1179,1692,2733,138,0
2021-01-06,BAS,220,104,116,220,0,0,3091,1283,1808,2953,138,0
2021-01-07,BAS,647,325,322,612,8,27,3738,1608,2130,3565,146,27
2021-01-08,BAS,337,143,194,275,23,39,4075,1751,2324,3840,169,66
2021-01-09,BAS,462,164,298,367,26,69,4537,1915,2622,4207,195,135
2021-01-11,BAS,160,49,111,94,6,60,4697,1964,2733,4301,201,195
2021-01-12,BAS,90,21,69,62,6,22,4787,1985,2802,4363,207,217
2020-12-27,CAL,274,147,127,272,2,0,274,147,127,272,2,0
2020-12-28,CAL,5,2,3,5,0,0,279,149,130,277,2,0
2021-01-02,CAL,169,97,72,169,0,0,448,246,202,446,2,0
2021-01-03,CAL,5,3,2,4,1,0,453,249,204,450,3,0
2021-01-04,CAL,1088,536,552,1038,50,0,1541,785,756,1488,53,0
2021-01-05,CAL,1575,745,830,1429,146,0,3116,1530,1586,2917,199,0
2021-01-06,CAL,1074,547,527,1014,60,0,4190,2077,2113,3931,259,0
2021-01-07,CAL,2880,1426,1454,2579,301,0,7070,3503,3567,6510,560,0
2021-01-08,CAL,1290,632,658,1171,119,0,8360,4135,4225,7681,679,0
2021-01-09,CAL,1781,896,885,1540,241,0,10141,5031,5110,9221,920,0
2021-01-10,CAL,1096,566,530,826,270,0,11237,5597,5640,10047,1190,0
2021-01-11,CAL,1544,791,753,1230,270,44,12781,6388,6393,11277,1460,44
2021-01-12,CAL,900,440,460,753,128,19,13681,6828,6853,12030,1588,63
2020-12-27,CAM,719,422,297,711,8,0,719,422,297,711,8,0
2020-12-31,CAM,1488,809,679,1332,155,1,2207,1231,976,2043,163,1
2021-01-01,CAM,917,505,412,841,76,0,3124,1736,1388,2884,239,1
2021-01-02,CAM,3668,1961,1707,3388,280,0,6792,3697,3095,6272,519,1
2021-01-03,CAM,3831,2005,1826,3494,337,0,10623,5702,4921,9766,856,1
2021-01-04,CAM,5823,2959,2864,5234,589,0,16446,8661,7785,15000,1445,1
2021-01-05,CAM,7162,3592,3570,6262,814,86,23608,12253,11355,21262,2259,87
2021-01-06,CAM,7661,3758,3903,6350,1007,304,31269,16011,15258,27612,3266,391
2021-01-07,CAM,8928,4191,4737,7248,1352,328,40197,20202,19995,34860,4618,719
2021-01-08,CAM,10446,4968,5478,7873,2361,212,50643,25170,25473,42733,6979,931
2021-01-09,CAM,10515,5003,5512,8309,1937,269,61158,30173,30985,51042,8916,1200
2021-01-10,CAM,8141,3729,4412,6617,1413,111,69299,33902,35397,57659,10329,1311
2021-01-11,CAM,3967,1808,2159,2666,1147,154,73266,35710,37556,60325,11476,1465
2021-01-12,CAM,5294,2608,2686,3804,1064,426,78560,38318,40242,64129,12540,1891
2020-12-27,EMR,963,368,595,582,355,26,963,368,595,582,355,26
2020-12-31,EMR,2102,741,1361,1371,411,320,3065,1109,1956,1953,766,346
2021-01-02,EMR,2269,888,1381,1874,245,150,5334,1997,3337,3827,1011,496
2021-01-03,EMR,2728,934,1794,2233,325,170,8062,2931,5131,6060,1336,666
2021-01-04,EMR,7198,2496,4702,5170,1605,423,15260,5427,9833,11230,2941,1089
2021-01-05,EMR,9061,3076,5985,5667,2829,565,24321,8503,15818,16897,5770,1654
2021-01-06,EMR,8039,2877,5162,5142,2413,484,32360,11380,20980,22039,8183,2138
