area,data,dosi_consegnate,dosi_totale
ABR,2020-12-27,135,135
ABR,2020-12-30,7800,7935
ABR,2021-01-05,3900,11835
ABR,2021-01-07,3900,15735
ABR,2021-01-11,3900,19635
ABR,2021-01-12,4875,24510
BAS,2020-12-27,105,105
BAS,2020-12-31,4875,4980
BAS,2021-01-05,2925,7905
BAS,2021-01-11,3900,11805
BAS,2021-01-12,1950,13755
CAL,2020-12-27,280,280
CAL,2020-12-31,8775,9055
CAL,2021-01-01,3900,12955
CAL,2021-01-05,12675,25630
CAL,2021-01-12,13650,39280
CAM,2020-12-27,720,720
CAM,2020-12-30,26325,27045
CAM,2020-12-31,5850,32895
CAM,2021-01-01,975,33870
CAM,2021-01-05,23400,57270
CAM,2021-01-07,9750,67020
CAM,2021-01-11,6825,73845
CAM,2021-01-12,27300,101145
EMR,2020-12-27,975,975
EMR,2020-12-30,42900,43875
EMR,2021-01-05,15600,59475
EMR,2021-01-07,28275,87750
EMR,2021-01-11,10725,98475
EMR,2021-01-12,33150,131625
FVG,2020-12-27,265,265
FVG,2020-12-30,11700,11965
FVG,2021-01-05,7800,19765
FVG,2021-01-07,4875,24640
FVG,2021-01-11,1950,26590
FVG,2021-01-12,10725,37315
LAZ,2020-12-27,955,955
LAZ,2020-12-30,44850,45805
LAZ,2021-01-05,15600,61405
LAZ,2021-01-07,26325,87730
LAZ,2021-01-11,6825,94555
LAZ,2021-01-12,38025,132580
LIG,2020-12-27,320,320
LIG,2020-12-30,15600,15920
LIG,2021-01-05,12675,28595
LIG,2021-01-07,1950,30545
LIG,2021-01-11,2925,33470
LIG,2021-01-12,13650,47120
LOM,2020-12-27,1620,1620
LOM,2020-12-30,78975,80595
LOM,2021-01-05,30225,110820
LOM,2021-01-07,43875,154695
LOM,2021-01-11,1950,156645
LOM,2021-01-12,78975,235620
MAR,2020-12-27,200,200
MAR,2020-12-30,8775,8975
MAR,2021-01-05,6825,15800
MAR,2021-01-07,1950,17750
MAR,2021-01-12,9750,27500
MOL,2020-12-27,50,50
MOL,2020-12-30,975,1025
MOL,2020-12-31,1950,2975
MOL,2021-01-05,1950,4925
MOL,2021-01-11,2925,7850
MOL,2021-01-12,975,8825
PAB,2020-12-27,145,145
PAB,2020-12-30,5850,5995
PAB,2021-01-07,6825,12820
PAB,2021-01-11,6825,19645
PAT,2020-12-27,100,100
PAT,2020-12-30,4875,4975
PAT,2021-01-05,1950,6925
PAT,2021-01-07,2925,9850
PAT,2021-01-12,5850,15700
PIE,2020-12-27,910,910
PIE,2020-12-30,39975,40885
PIE,2021-01-05,20475,61360
PIE,2021-01-07,21450,82810
PIE,2021-01-12,40950,123760
PUG,2020-12-27,505,505
PUG,2020-12-31,21450,21955
PUG,2021-01-01,3900,25855
PUG,2021-01-05,5850,31705
PUG,2021-01-07,16575,48280
PUG,2021-01-11,26325,74605
SAR,2020-12-27,180,180
SAR,2020-12-31,12675,12855
SAR,2021-01-05,6825,19680
SAR,2021-01-12,13650,33330
SIC,2020-12-27,685,685
SIC,2020-12-31,45825,46510
SIC,2021-01-05,32175,78685
SIC,2021-01-12,46800,125485
TOS,2020-12-27,620,620
TOS,2020-12-30,27300,27920
TOS,2021-01-05,3900,31820
TOS,2021-01-07,20475,52295
TOS,2021-01-12,28275,80570
UMB,2020-12-27,85,85
UMB,2020-12-30,4875,4960
UMB,2021-01-05,4875,9835
UMB,2021-01-12,5850,15685
VDA,2020-12-27,20,20
VDA,2020-12-30,975,995
VDA,2021-01-05,975,1970
VDA,2021-01-12,1950,3920
VEN,2020-12-27,875,875
VEN,2020-12-30,38025,38900
VEN,2021-01-05,4875,43775
VEN,2021-01-07,34125,77900
VEN,2021-01-12,39000,116900
