"","data_somministrazione","area","totale","sesso_maschile","sesso_femminile","categoria_operatori_sanitari_sociosanitari","categoria_personale_non_sanitario","categoria_ospiti_rsa"
"1",2020-12-27,"ABR",135,71,64,115,18,2
"2",2020-12-27,"BAS",208,83,125,208,0,0
"3",2020-12-27,"CAL",274,147,127,272,2,0
"4",2020-12-27,"CAM",720,423,297,703,17,0
"5",2020-12-27,"EMR",963,367,596,578,359,26
"6",2020-12-27,"FVG",265,149,116,265,0,0
"7",2020-12-27,"LAZ",179,91,88,178,1,0
"8",2020-12-27,"LIG",135,59,76,102,3,30
"9",2020-12-27,"LOM",766,457,309,731,23,12
"10",2020-12-27,"MAR",200,97,103,188,8,4
"11",2020-12-27,"MOL",50,20,30,32,1,17
"12",2020-12-27,"PAB",144,65,79,144,0,0
"13",2020-12-27,"PAT",100,39,61,77,3,20
"14",2020-12-27,"PIE",908,366,542,757,75,76
"15",2020-12-27,"PUG",555,279,276,482,11,62
"16",2020-12-27,"SAR",65,34,31,65,0,0
"17",2020-12-27,"SIC",132,76,56,105,2,25
"18",2020-12-27,"TOS",620,267,353,581,9,30
"19",2020-12-27,"UMB",144,76,68,122,5,17
"20",2020-12-27,"VDA",20,9,11,20,0,0
"21",2020-12-27,"VEN",880,395,485,879,1,0
"22",2020-12-28,"CAL",5,2,3,5,0,0
"23",2020-12-28,"LAZ",567,251,316,551,16,0
"24",2020-12-28,"LIG",80,30,50,79,1,0
"25",2020-12-28,"LOM",391,171,220,338,53,0
"26",2020-12-28,"PAB",0,0,0,0,0,0
"27",2020-12-28,"SAR",65,25,40,65,0,0
"28",2020-12-28,"SIC",214,128,86,212,2,0
"29",2020-12-29,"LAZ",351,129,222,336,15,0
"30",2020-12-29,"LIG",125,33,92,97,7,21
"31",2020-12-29,"LOM",416,172,244,357,59,0
"32",2020-12-29,"SAR",50,29,21,49,1,0
"33",2020-12-29,"SIC",235,146,89,235,0,0
"34",2020-12-30,"EMR",1,0,1,1,0,0
"35",2020-12-30,"FVG",629,250,379,589,40,0
"36",2020-12-30,"LAZ",1604,656,948,1523,21,60
"37",2020-12-30,"LIG",12,5,7,12,0,0
"38",2020-12-30,"LOM",128,44,84,118,10,0
"39",2020-12-30,"MAR",17,5,12,14,3,0
"40",2020-12-30,"PAB",383,163,220,343,40,0
"41",2020-12-30,"PIE",723,320,403,676,47,0
"42",2020-12-30,"SIC",239,142,97,221,18,0
"43",2020-12-30,"TOS",302,96,206,34,6,262
"44",2020-12-30,"VEN",698,245,453,621,38,39
"45",2020-12-31,"CAM",1484,806,678,1306,177,1
"46",2020-12-31,"EMR",2102,741,1361,1369,411,322
"47",2020-12-31,"FVG",1054,384,670,968,86,0
"48",2020-12-31,"LAZ",4907,2003,2904,4484,140,283
"49",2020-12-31,"LIG",935,341,594,730,22,183
"50",2020-12-31,"LOM",665,263,402,639,26,0
"51",2020-12-31,"MAR",384,173,211,371,13,0
"52",2020-12-31,"PAB",444,203,241,371,73,0
"53",2020-12-31,"PAT",1494,423,1071,811,102,581
"54",2020-12-31,"PIE",3773,1299,2474,3275,365,133
"55",2020-12-31,"PUG",1274,618,656,1202,56,16
"56",2020-12-31,"SAR",32,16,16,27,5,0
"57",2020-12-31,"SIC",866,469,397,857,9,0
"58",2020-12-31,"TOS",759,187,572,97,4,658
"59",2020-12-31,"UMB",251,89,162,250,1,0
"60",2020-12-31,"VDA",18,4,14,18,0,0
"61",2020-12-31,"VEN",3146,1025,2121,2840,101,205
"62",2021-01-01,"CAM",907,496,411,833,74,0
"63",2021-01-01,"LAZ",3545,1396,2149,3338,138,69
"64",2021-01-01,"LIG",144,55,89,133,11,0
"65",2021-01-01,"LOM",24,7,17,24,0,0
"66",2021-01-01,"PAT",209,49,160,111,11,87
"67",2021-01-01,"PIE",1014,381,633,900,114,0
"68",2021-01-01,"PUG",179,77,102,179,0,0
"69",2021-01-01,"SAR",30,16,14,30,0,0
