"nome","area","popolazione_2020"
"Molise","MOL",300516
"Puglia","PUG",3953305
"Basilicata","BAS",553254
"Abruzzo","ABR",1293941
"Umbria","UMB",870165
"Marche","MAR",1512672
"Lombardia","LOM",10027602
"Piemonte","PIE",4311217
"Liguria","LIG",1524826
"Emilia-Romagna","EMR",4464119
"Provincia Autonoma Bolzano / Bozen","PAB",532644
"Veneto","VEN",4879133
"Friuli-Venezia Giulia","FVG",1206216
"Toscana","TOS",3692555
"Provincia Autonoma Trento","PAT",545425
"Sardegna","SAR",1611621
"Lazio","LAZ",5755700
"Valle d'Aosta / Vallée d'Aoste","VDA",125034
"Calabria","CAL",1894110
"Sicilia","SIC",4875290
"Campania","CAM",5712143
