nome,NUTS2,area,popolazione_2020,totale_pfizer,totale_moderna,totale_dosi,dosi_ogni_mille
Abruzzo,ITF1,ABR,1293941,37380,2700,40080,30.98
Basilicata,ITF5,BAS,553254,20775,600,21375,38.64
Calabria,ITF6,CAL,1894110,62680,2100,64780,34.2
Campania,ITF3,CAM,5712143,171345,14500,185845,32.54
Emilia-Romagna,ITH5,EMR,4464119,213525,12300,225825,50.59
Friuli-Venezia Giulia,ITH4,FVG,1206216,60715,1300,62015,51.41
Lazio,ITI4,LAZ,5755700,222670,14000,236670,41.12
Liguria,ITC3,LIG,1524826,77540,1700,79240,51.97
Lombardia,ITC4,LOM,10027602,379530,11100,390630,38.96
Marche,ITI3,MAR,1512672,43880,3200,47080,31.12
Molise,ITF2,MOL,300516,13505,300,13805,45.94
Provincia Autonoma Bolzano / Bozen,ITH1,PAB,532644,32515,600,33115,62.17
Provincia Autonoma Trento,ITH2,PAT,545425,25060,600,25660,47.05
Piemonte,ITC1,PIE,4311217,200980,4800,205780,47.73
Puglia,ITF4,PUG,3953305,120235,4300,124535,31.5
Sardegna,ITG2,SAR,1611621,53220,1800,55020,34.14
Sicilia,ITG1,SIC,4875290,194515,12000,206515,42.36
Toscana,ITI1,TOS,3692555,128540,9400,137940,37.36
Umbria,ITI2,UMB,870165,23875,2000,25875,29.74
Valle d'Aosta / Vallée d'Aoste,ITC2,VDA,125034,6260,300,6560,52.47
Veneto,ITH3,VEN,4879133,189440,13200,202640,41.53
Italia,NA,ITA,59641488,2278185,112800,2390985,40.09
