area,data,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area,dosi_pfizer,dosi_moderna,totale_pfizer,totale_moderna,totale_dosi
ABR,2020-12-27,ITF,ITF1,13,Abruzzo,135,0,135,0,135
ABR,2020-12-28,NA,NA,NA,NA,0,0,135,0,135
ABR,2020-12-29,NA,NA,NA,NA,0,0,135,0,135
ABR,2020-12-30,ITF,ITF1,13,Abruzzo,7800,0,7935,0,7935
ABR,2020-12-31,NA,NA,NA,NA,0,0,7935,0,7935
ABR,2021-01-01,NA,NA,NA,NA,0,0,7935,0,7935
ABR,2021-01-02,NA,NA,NA,NA,0,0,7935,0,7935
ABR,2021-01-03,NA,NA,NA,NA,0,0,7935,0,7935
ABR,2021-01-04,NA,NA,NA,NA,0,0,7935,0,7935
ABR,2021-01-05,ITF,ITF1,13,Abruzzo,3900,0,11835,0,11835
ABR,2021-01-06,NA,NA,NA,NA,0,0,11835,0,11835
ABR,2021-01-07,ITF,ITF1,13,Abruzzo,3900,0,15735,0,15735
ABR,2021-01-08,NA,NA,NA,NA,0,0,15735,0,15735
ABR,2021-01-09,NA,NA,NA,NA,0,0,15735,0,15735
ABR,2021-01-10,NA,NA,NA,NA,0,0,15735,0,15735
ABR,2021-01-11,ITF,ITF1,13,Abruzzo,3900,0,19635,0,19635
ABR,2021-01-12,ITF,ITF1,13,Abruzzo,4875,0,24510,0,24510
ABR,2021-01-13,ITF,ITF1,13,Abruzzo,0,1300,24510,1300,25810
ABR,2021-01-14,NA,NA,NA,NA,0,0,24510,1300,25810
ABR,2021-01-15,NA,NA,NA,NA,0,0,24510,1300,25810
ABR,2021-01-16,NA,NA,NA,NA,0,0,24510,1300,25810
ABR,2021-01-17,NA,NA,NA,NA,0,0,24510,1300,25810
ABR,2021-01-18,ITF,ITF1,13,Abruzzo,3510,0,28020,1300,29320
ABR,2021-01-19,NA,NA,NA,NA,0,0,28020,1300,29320
ABR,2021-01-20,ITF,ITF1,13,Abruzzo,3510,0,31530,1300,32830
ABR,2021-01-21,ITF,ITF1,13,Abruzzo,2340,0,33870,1300,35170
ABR,2021-01-22,NA,NA,NA,NA,0,0,33870,1300,35170
ABR,2021-01-23,NA,NA,NA,NA,0,0,33870,1300,35170
ABR,2021-01-24,NA,NA,NA,NA,0,0,33870,1300,35170
ABR,2021-01-25,NA,NA,NA,NA,0,0,33870,1300,35170
ABR,2021-01-26,ITF,ITF1,13,Abruzzo,1170,0,35040,1300,36340
ABR,2021-01-27,ITF,ITF1,13,Abruzzo,2340,0,37380,1300,38680
ABR,2021-01-28,NA,NA,NA,NA,0,0,37380,1300,38680
ABR,2021-01-29,NA,NA,NA,NA,0,0,37380,1300,38680
ABR,2021-01-30,NA,NA,NA,NA,0,0,37380,1300,38680
ABR,2021-01-31,NA,NA,NA,NA,0,0,37380,1300,38680
ABR,2021-02-01,NA,NA,NA,NA,0,0,37380,1300,38680
BAS,2020-12-27,ITF,ITF5,17,Basilicata,105,0,105,0,105
BAS,2020-12-28,NA,NA,NA,NA,0,0,105,0,105
BAS,2020-12-29,NA,NA,NA,NA,0,0,105,0,105
BAS,2020-12-30,NA,NA,NA,NA,0,0,105,0,105
BAS,2020-12-31,ITF,ITF5,17,Basilicata,4875,0,4980,0,4980
BAS,2021-01-01,NA,NA,NA,NA,0,0,4980,0,4980
BAS,2021-01-02,NA,NA,NA,NA,0,0,4980,0,4980
BAS,2021-01-03,NA,NA,NA,NA,0,0,4980,0,4980
BAS,2021-01-04,NA,NA,NA,NA,0,0,4980,0,4980
BAS,2021-01-05,ITF,ITF5,17,Basilicata,2925,0,7905,0,7905
BAS,2021-01-06,NA,NA,NA,NA,0,0,7905,0,7905
BAS,2021-01-07,NA,NA,NA,NA,0,0,7905,0,7905
BAS,2021-01-08,NA,NA,NA,NA,0,0,7905,0,7905
BAS,2021-01-09,NA,NA,NA,NA,0,0,7905,0,7905
BAS,2021-01-10,NA,NA,NA,NA,0,0,7905,0,7905
BAS,2021-01-11,ITF,ITF5,17,Basilicata,3900,0,11805,0,11805
BAS,2021-01-12,ITF,ITF5,17,Basilicata,1950,0,13755,0,13755
BAS,2021-01-13,NA,NA,NA,NA,0,0,13755,0,13755
BAS,2021-01-14,NA,NA,NA,NA,0,0,13755,0,13755
BAS,2021-01-15,NA,NA,NA,NA,0,0,13755,0,13755
BAS,2021-01-16,NA,NA,NA,NA,0,0,13755,0,13755
BAS,2021-01-17,NA,NA,NA,NA,0,0,13755,0,13755
BAS,2021-01-18,ITF,ITF5,17,Basilicata,2340,0,16095,0,16095
BAS,2021-01-19,ITF,ITF5,17,Basilicata,1170,0,17265,0,17265
BAS,2021-01-20,NA,NA,NA,NA,0,0,17265,0,17265
BAS,2021-01-21,NA,NA,NA,NA,0,0,17265,0,17265
BAS,2021-01-22,NA,NA,NA,NA,0,0,17265,0,17265
BAS,2021-01-23,NA,NA,NA,NA,0,0,17265,0,17265
BAS,2021-01-24,NA,NA,NA,NA,0,0,17265,0,17265
BAS,2021-01-25,ITF,ITF5,17,Basilicata,1170,0,18435,0,18435
BAS,2021-01-26,NA,NA,NA,NA,0,0,18435,0,18435
BAS,2021-01-27,ITF,ITF5,17,Basilicata,2340,0,20775,0,20775
BAS,2021-01-28,NA,NA,NA,NA,0,0,20775,0,20775
BAS,2021-01-29,NA,NA,NA,NA,0,0,20775,0,20775
BAS,2021-01-30,NA,NA,NA,NA,0,0,20775,0,20775
BAS,2021-01-31,NA,NA,NA,NA,0,0,20775,0,20775
BAS,2021-02-01,NA,NA,NA,NA,0,0,20775,0,20775
CAL,2020-12-27,ITF,ITF6,18,Calabria,280,0,280,0,280
CAL,2020-12-28,NA,NA,NA,NA,0,0,280,0,280
CAL,2020-12-29,NA,NA,NA,NA,0,0,280,0,280
CAL,2020-12-30,NA,NA,NA,NA,0,0,280,0,280
CAL,2020-12-31,ITF,ITF6,18,Calabria,8775,0,9055,0,9055
CAL,2021-01-01,ITF,ITF6,18,Calabria,3900,0,12955,0,12955
CAL,2021-01-02,NA,NA,NA,NA,0,0,12955,0,12955
CAL,2021-01-03,NA,NA,NA,NA,0,0,12955,0,12955
CAL,2021-01-04,NA,NA,NA,NA,0,0,12955,0,12955
CAL,2021-01-05,ITF,ITF6,18,Calabria,12675,0,25630,0,25630
CAL,2021-01-06,NA,NA,NA,NA,0,0,25630,0,25630
CAL,2021-01-07,NA,NA,NA,NA,0,0,25630,0,25630
CAL,2021-01-08,NA,NA,NA,NA,0,0,25630,0,25630
CAL,2021-01-09,NA,NA,NA,NA,0,0,25630,0,25630
CAL,2021-01-10,NA,NA,NA,NA,0,0,25630,0,25630
CAL,2021-01-11,NA,NA,NA,NA,0,0,25630,0,25630
CAL,2021-01-12,ITF,ITF6,18,Calabria,13650,0,39280,0,39280
CAL,2021-01-13,NA,NA,NA,NA,0,0,39280,0,39280
CAL,2021-01-14,NA,NA,NA,NA,0,0,39280,0,39280
CAL,2021-01-15,NA,NA,NA,NA,0,0,39280,0,39280
CAL,2021-01-16,NA,NA,NA,NA,0,0,39280,0,39280
CAL,2021-01-17,NA,NA,NA,NA,0,0,39280,0,39280
CAL,2021-01-18,NA,NA,NA,NA,0,0,39280,0,39280
CAL,2021-01-19,ITF,ITF6,18,Calabria,8190,0,47470,0,47470
CAL,2021-01-20,ITF,ITF6,18,Calabria,1170,0,48640,0,48640
CAL,2021-01-21,NA,NA,NA,NA,0,0,48640,0,48640
CAL,2021-01-22,NA,NA,NA,NA,0,0,48640,0,48640
CAL,2021-01-23,NA,NA,NA,NA,0,0,48640,0,48640
CAL,2021-01-24,NA,NA,NA,NA,0,0,48640,0,48640
CAL,2021-01-25,NA,NA,NA,NA,0,0,48640,0,48640
CAL,2021-01-26,ITF,ITF6,18,Calabria,1170,0,49810,0,49810
