nome,NUTS2,area,popolazione_2020,vaccinati_totale,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,over80,prima_dose,seconda_dose,totale_pfizer,totale_moderna,totale_dosi,dosi_ogni_mille,vaccinati_ogni_mille,percent_vaccini_usati
Abruzzo,ITF1,ABR,1293941,24609,9107,15502,22047,1793,769,0,18945,5664,37380,1300,38680,29.89,19.02,63.62
Basilicata,ITF5,BAS,553254,15244,6266,8978,9093,4736,1415,0,10983,4261,20775,0,20775,37.55,27.55,73.38
Calabria,ITF6,CAL,1894110,32484,15629,16855,26489,5243,752,0,26817,5667,62680,0,62680,33.09,17.15,51.83
Campania,ITF3,CAM,5712143,147734,71734,76000,101910,40422,5402,0,108683,39051,165495,8200,173695,30.41,25.86,85.05
Emilia-Romagna,ITH5,EMR,4464119,162643,54952,107691,108206,35565,18872,0,126567,36076,213525,7400,220925,49.49,36.43,73.62
Friuli-Venezia Giulia,ITH4,FVG,1206216,43253,14514,28739,31772,6964,4517,0,34581,8672,60715,0,60715,50.34,35.86,71.24
Lazio,ITI4,LAZ,5755700,170632,65883,104749,139952,13337,13669,3674,120649,49983,222670,7500,230170,39.99,29.65,74.13
Liguria,ITC3,LIG,1524826,47258,16648,30610,24895,17467,4888,8,36688,10570,77540,0,77540,50.85,30.99,60.95
Lombardia,ITC4,LOM,10027602,264918,86553,178365,112094,130067,20602,2155,229821,35097,379530,0,379530,37.85,26.42,69.8
Marche,ITI3,MAR,1512672,37427,13369,24058,28188,6716,2523,0,28273,9154,43880,1500,45380,30,24.74,82.47
Molise,ITF2,MOL,300516,8784,3255,5529,5654,1168,1962,0,6723,2061,13505,0,13505,44.94,29.23,65.04
Provincia Autonoma Bolzano / Bozen,ITH1,PAB,532644,25766,9925,15841,7147,9015,1861,7743,22291,3475,32515,0,32515,61.04,48.37,79.24
Provincia Autonoma Trento,ITH2,PAT,545425,17389,5134,12255,10961,1886,4542,0,13405,3984,25060,0,25060,45.95,31.88,69.39
Piemonte,ITC1,PIE,4311217,166572,55128,111444,116800,28480,21292,0,135086,31486,200980,0,200980,46.62,38.64,82.88
Puglia,ITF4,PUG,3953305,94315,40159,54156,76619,9606,8080,10,72640,21675,120235,0,120235,30.41,23.86,78.44
Sardegna,ITG2,SAR,1611621,32550,11716,20834,26977,5414,159,0,26105,6445,53220,0,53220,33.02,20.2,61.16
Sicilia,ITG1,SIC,4875290,137156,66255,70901,107020,24856,5280,0,95237,41919,194515,6600,201115,41.25,28.13,68.2
Toscana,ITI1,TOS,3692555,107498,36638,70860,84487,4992,18019,0,76651,30847,128540,5300,133840,36.25,29.11,80.32
Umbria,ITI2,UMB,870165,19381,6732,12649,15863,428,3090,0,14823,4558,23875,1000,24875,28.59,22.27,77.91
Valle d'Aosta / Vallée d'Aoste,ITC2,VDA,125034,4674,1738,2936,2694,1365,351,264,4046,628,6260,200,6460,51.67,37.38,72.35
Veneto,ITH3,VEN,4879133,153075,46337,106738,102695,24055,25846,479,111844,41231,189440,7800,197240,40.43,31.37,77.61
Italia,NA,ITA,59641488,1713362,637672,1075690,1161563,373575,163891,14333,1320858,392504,2272335,46800,2319135,38.88,28.73,73.88
