data,area,nuovi_vaccinati,fornitore,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,over80,prima_dose,seconda_dose,vaccinati_totale,sesso_maschile_totale,sesso_femminile_totale,operatori_sanitari_totale,personale_non_sanitario_totale,ospiti_rsa_totale,over80_totale,prima_dose_totale,seconda_dose_totale
2020-12-27,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,ABR,37,Pfizer/BioNTech,19,18,34,1,2,0,37,0,37,19,18,34,1,2,0,37,0
2020-12-28,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,ABR,0,Pfizer/BioNTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,ABR,0,Pfizer/BioNTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,ABR,0,Pfizer/BioNTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,ABR,0,Pfizer/BioNTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,ABR,0,Pfizer/BioNTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,ABR,548,Pfizer/BioNTech,218,330,540,8,0,0,548,0,548,218,330,540,8,0,0,548,0
2021-01-03,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,ABR,471,Pfizer/BioNTech,185,286,464,7,0,0,471,0,471,185,286,464,7,0,0,471,0
2021-01-04,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,ABR,1401,Pfizer/BioNTech,575,826,1396,5,0,0,1401,0,1401,575,826,1396,5,0,0,1401,0
2021-01-05,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,ABR,1614,Pfizer/BioNTech,604,1010,1604,10,0,0,1614,0,1614,604,1010,1604,10,0,0,1614,0
2021-01-06,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,ABR,1830,Pfizer/BioNTech,664,1166,1546,151,133,0,1830,0,1830,664,1166,1546,151,133,0,1830,0
2021-01-07,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,ABR,1603,Pfizer/BioNTech,552,1051,1566,37,0,0,1603,0,1603,552,1051,1566,37,0,0,1603,0
2021-01-08,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,ABR,1525,Pfizer/BioNTech,507,1018,1487,38,0,0,1525,0,1525,507,1018,1487,38,0,0,1525,0
2021-01-09,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,ABR,1483,Pfizer/BioNTech,565,918,1430,53,0,0,1483,0,1483,565,918,1430,53,0,0,1483,0
2021-01-10,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,ABR,1139,Pfizer/BioNTech,409,730,1091,48,0,0,1139,0,1139,409,730,1091,48,0,0,1139,0
2021-01-11,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,ABR,1551,Pfizer/BioNTech,557,994,1337,166,48,0,1551,0,1551,557,994,1337,166,48,0,1551,0
2021-01-12,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,ABR,1804,Pfizer/BioNTech,666,1138,1470,334,0,0,1804,0,1804,666,1138,1470,334,0,0,1804,0
2021-01-13,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,ABR,1253,Pfizer/BioNTech,440,813,1103,150,0,0,1253,0,1253,440,813,1103,150,0,0,1253,0
2021-01-14,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,ABR,530,Pfizer/BioNTech,189,341,364,166,0,0,530,0,530,189,341,364,166,0,0,530,0
2021-01-15,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,ABR,379,Pfizer/BioNTech,149,230,223,121,35,0,379,0,379,149,230,223,121,35,0,379,0
2021-01-16,ABR,189,Moderna,103,86,145,44,0,0,189,0,189,103,86,145,44,0,0,189,0
2021-01-16,ABR,398,Pfizer/BioNTech,136,262,304,79,15,0,398,0,587,239,348,449,123,15,0,587,0
2021-01-17,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,ABR,187,Pfizer/BioNTech,59,128,136,51,0,0,180,7,187,59,128,136,51,0,0,180,7
2021-01-18,ABR,1,Moderna,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
2021-01-18,ABR,121,Pfizer/BioNTech,48,73,105,14,2,0,45,76,122,48,74,106,14,2,0,46,76
2021-01-19,ABR,40,Moderna,33,7,0,31,9,0,40,0,40,33,7,0,31,9,0,40,0
2021-01-19,ABR,71,Pfizer/BioNTech,22,49,27,3,41,0,51,20,111,55,56,27,34,50,0,91,20
2021-01-20,ABR,182,Moderna,68,114,0,21,161,0,182,0,182,68,114,0,21,161,0,182,0
2021-01-20,ABR,265,Pfizer/BioNTech,88,177,147,75,43,0,263,2,447,156,291,147,96,204,0,445,2
2021-01-21,ABR,115,Moderna,33,82,9,3,103,0,115,0,115,33,82,9,3,103,0,115,0
2021-01-21,ABR,42,Pfizer/BioNTech,14,28,1,3,38,0,42,0,157,47,110,10,6,141,0,157,0
2021-01-22,ABR,70,Moderna,47,23,2,4,64,0,70,0,70,47,23,2,4,64,0,70,0
2021-01-22,ABR,48,Pfizer/BioNTech,10,38,0,0,48,0,48,0,118,57,61,2,4,112,0,118,0
2021-01-23,ABR,30,Moderna,14,16,4,0,26,0,30,0,30,14,16,4,0,26,0,30,0
2021-01-23,ABR,233,Pfizer/BioNTech,100,133,219,14,0,0,27,206,263,114,149,223,14,26,0,57,206
2021-01-24,ABR,0,Moderna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,ABR,50,Pfizer/BioNTech,22,28,49,1,0,0,6,44,50,22,28,49,1,0,0,6,44
