data,fascia_anagrafica,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,over80,prima_dose,seconda_dose,vaccinati_totale,sesso_maschile_totale,sesso_femminile_totale,operatori_sanitari_totale,personale_non_sanitario_totale,ospiti_rsa_totale,over80_totale,prima_dose_totale,seconda_dose_totale
2020-12-27,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,20-29,653,235,418,538,110,5,0,653,0,653,235,418,538,110,5,0,653,0
2020-12-27,30-39,1029,462,567,872,153,4,0,1029,0,1029,462,567,872,153,4,0,1029,0
2020-12-27,40-49,1444,543,901,1148,290,6,0,1444,0,1444,543,901,1148,290,6,0,1444,0
2020-12-27,50-59,2126,906,1220,1677,434,15,0,2126,0,2126,906,1220,1677,434,15,0,2126,0
2020-12-27,60-69,1453,1050,403,1139,284,30,0,1453,0,1453,1050,403,1139,284,30,0,1453,0
2020-12-27,70-79,132,90,42,25,36,71,0,132,0,132,90,42,25,36,71,0,132,0
2020-12-27,80-89,125,29,96,1,20,104,0,125,0,125,29,96,1,20,104,0,125,0
2020-12-27,90+,77,15,62,0,8,69,0,77,0,77,15,62,0,8,69,0,77,0
2020-12-28,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,20-29,109,52,57,103,6,0,0,109,0,762,287,475,641,116,5,0,762,0
2020-12-28,30-39,169,82,87,150,19,0,0,169,0,1198,544,654,1022,172,4,0,1198,0
2020-12-28,40-49,241,84,157,210,31,0,0,241,0,1685,627,1058,1358,321,6,0,1685,0
2020-12-28,50-59,287,124,163,248,39,0,0,287,0,2413,1030,1383,1925,473,15,0,2413,0
2020-12-28,60-69,172,110,62,158,14,0,0,172,0,1625,1160,465,1297,298,30,0,1625,0
2020-12-28,70-79,0,0,0,0,0,0,0,0,0,132,90,42,25,36,71,0,132,0
2020-12-28,80-89,1,1,0,0,1,0,0,1,0,126,30,96,1,21,104,0,126,0
2020-12-28,90+,0,0,0,0,0,0,0,0,0,77,15,62,0,8,69,0,77,0
2020-12-29,20-29,72,21,51,63,9,0,0,72,0,834,308,526,704,125,5,0,834,0
2020-12-29,30-39,178,80,98,143,35,0,0,178,0,1376,624,752,1165,207,4,0,1376,0
2020-12-29,40-49,198,78,120,169,29,0,0,198,0,1883,705,1178,1527,350,6,0,1883,0
2020-12-29,50-59,281,102,179,257,24,0,0,281,0,2694,1132,1562,2182,497,15,0,2694,0
2020-12-29,60-69,171,114,57,159,12,0,0,171,0,1796,1274,522,1456,310,30,0,1796,0
2020-12-29,70-79,8,5,3,3,2,3,0,8,0,140,95,45,28,38,74,0,140,0
2020-12-29,80-89,9,1,8,0,0,9,0,9,0,135,31,104,1,21,113,0,135,0
2020-12-29,90+,9,1,8,0,0,9,0,9,0,86,16,70,0,8,78,0,86,0
2020-12-30,16-19,2,2,0,0,0,2,0,2,0,2,2,0,0,0,2,0,2,0
2020-12-30,20-29,485,192,293,413,64,8,0,485,0,1319,500,819,1117,189,13,0,1319,0
2020-12-30,30-39,863,364,499,777,77,9,0,863,0,2239,988,1251,1942,284,13,0,2239,0
2020-12-30,40-49,1204,420,784,1052,139,13,0,1204,0,3087,1125,1962,2579,489,19,0,3087,0
2020-12-30,50-59,1249,473,776,1091,142,16,0,1249,0,3943,1605,2338,3273,639,31,0,3943,0
2020-12-30,60-69,559,334,225,495,43,21,0,559,0,2355,1608,747,1951,353,51,0,2355,0
2020-12-30,70-79,83,48,35,37,1,45,0,83,0,223,143,80,65,39,119,0,223,0
2020-12-30,80-89,150,38,112,18,0,132,0,150,0,285,69,216,19,21,245,0,285,0
2020-12-30,90+,87,12,75,9,0,78,0,87,0,173,28,145,9,8,156,0,173,0
2020-12-31,16-19,23,13,10,4,18,1,0,23,0,25,15,10,4,18,3,0,25,0
2020-12-31,20-29,2324,767,1557,2082,239,3,0,2324,0,3643,1267,2376,3199,428,16,0,3643,0
2020-12-31,30-39,4185,1769,2416,3744,434,7,0,4185,0,6424,2757,3667,5686,718,20,0,6424,0
2020-12-31,40-49,5594,1875,3719,4980,583,31,0,5594,0,8681,3000,5681,7559,1072,50,0,8681,0
2020-12-31,50-59,6967,2505,4462,5935,939,93,0,6967,0,10910,4110,6800,9208,1578,124,0,10910,0
2020-12-31,60-69,3455,2130,1325,2900,365,190,0,3455,0,5810,3738,2072,4851,718,241,0,5810,0
2020-12-31,70-79,527,242,285,78,31,418,0,527,0,750,385,365,143,70,537,0,750,0
2020-12-31,80-89,965,245,720,14,0,933,18,965,0,1250,314,936,33,21,1178,18,1250,0
2020-12-31,90+,725,76,649,1,2,712,10,725,0,898,104,794,10,10,868,10,898,0
2021-01-01,16-19,4,2,2,2,1,1,0,4,0,29,17,12,6,19,4,0,29,0
2021-01-01,20-29,965,298,667,941,23,1,0,965,0,4608,1565,3043,4140,451,17,0,4608,0
2021-01-01,30-39,1937,777,1160,1877,54,6,0,1937,0,8361,3534,4827,7563,772,26,0,8361,0
2021-01-01,40-49,2458,836,1622,2388,58,12,0,2458,0,11139,3836,7303,9947,1130,62,0,11139,0
2021-01-01,50-59,3182,1176,2006,3017,133,32,0,3182,0,14092,5286,8806,12225,1711,156,0,14092,0
2021-01-01,60-69,1625,910,715,1509,69,47,0,1625,0,7435,4648,2787,6360,787,288,0,7435,0
2021-01-01,70-79,182,113,69,65,3,114,0,182,0,932,498,434,208,73,651,0,932,0
2021-01-01,80-89,287,68,219,10,0,277,0,287,0,1537,382,1155,43,21,1455,18,1537,0
2021-01-01,90+,317,47,270,3,0,314,0,317,0,1215,151,1064,13,10,1182,10,1215,0
2021-01-02,16-19,22,8,14,6,8,8,0,22,0,51,25,26,12,27,12,0,51,0
2021-01-02,20-29,3723,1257,2466,3490,213,20,0,3723,0,8331,2822,5509,7630,664,37,0,8331,0
2021-01-02,30-39,6858,2778,4080,6379,460,19,0,6858,0,15219,6312,8907,13942,1232,45,0,15219,0
2021-01-02,40-49,8620,2970,5650,7987,614,19,0,8620,0,19759,6806,12953,17934,1744,81,0,19759,0
2021-01-02,50-59,10750,3868,6882,9784,900,66,0,10750,0,24842,9154,15688,22009,2611,222,0,24842,0
2021-01-02,60-69,6350,3691,2659,5613,577,160,0,6350,0,13785,8339,5446,11973,1364,448,0,13785,0
2021-01-02,70-79,586,363,223,198,53,335,0,586,0,1518,861,657,406,126,986,0,1518,0
2021-01-02,80-89,793,214,579,25,21,747,0,793,0,2330,596,1734,68,42,2202,18,2330,0
2021-01-02,90+,690,101,589,9,6,675,0,690,0,1905,252,1653,22,16,1857,10,1905,0
2021-01-03,16-19,12,9,3,7,5,0,0,12,0,63,34,29,19,32,12,0,63,0
2021-01-03,20-29,3621,1172,2449,3335,282,4,0,3621,0,11952,3994,7958,10965,946,41,0,11952,0
2021-01-03,30-39,6076,2525,3551,5512,558,6,0,6076,0,21295,8837,12458,19454,1790,51,0,21295,0
2021-01-03,40-49,7852,2681,5171,7044,783,25,0,7852,0,27611,9487,18124,24978,2527,106,0,27611,0
2021-01-03,50-59,10026,3461,6565,8910,1061,55,0,10026,0,34868,12615,22253,30919,3672,277,0,34868,0
2021-01-03,60-69,5738,3288,2450,5059,576,103,0,5738,0,19523,11627,7896,17032,1940,551,0,19523,0
2021-01-03,70-79,501,322,179,210,50,241,0,501,0,2019,1183,836,616,176,1227,0,2019,0
2021-01-03,80-89,600,175,425,26,11,563,0,600,0,2930,771,2159,94,53,2765,18,2930,0
2021-01-03,90+,522,69,453,7,5,510,0,522,0,2427,321,2106,29,21,2367,10,2427,0
2021-01-04,16-19,25,10,15,9,16,0,0,25,0,88,44,44,28,48,12,0,88,0
2021-01-04,20-29,6122,2111,4011,5239,874,9,0,6122,0,18074,6105,11969,16204,1820,50,0,18074,0
2021-01-04,30-39,11960,4981,6979,10140,1804,16,0,11960,0,33255,13818,19437,29594,3594,67,0,33255,0
2021-01-04,40-49,14624,4921,9703,12184,2414,26,0,14624,0,42235,14408,27827,37162,4941,132,0,42235,0
2021-01-04,50-59,19758,6787,12971,16077,3557,124,0,19758,0,54626,19402,35224,46996,7229,401,0,54626,0
2021-01-04,60-69,11480,6384,5096,9544,1701,235,0,11480,0,31003,18011,12992,26576,3641,786,0,31003,0
2021-01-04,70-79,1083,687,396,389,136,558,0,1083,0,3102,1870,1232,1005,312,1785,0,3102,0
2021-01-04,80-89,1370,387,983,47,135,1188,0,1370,0,4300,1158,3142,141,188,3953,18,4300,0
2021-01-04,90+,1183,179,1004,16,104,1063,0,1183,0,3610,500,3110,45,125,3430,10,3610,0
2021-01-05,16-19,53,23,30,32,21,0,0,53,0,141,67,74,60,69,12,0,141,0
2021-01-05,20-29,6954,2291,4663,5763,1180,11,0,6954,0,25028,8396,16632,21967,3000,61,0,25028,0
2021-01-05,30-39,13428,5363,8065,10927,2475,26,0,13428,0,46683,19181,27502,40521,6069,93,0,46683,0
2021-01-05,40-49,16734,5630,11104,13418,3266,50,0,16734,0,58969,20038,38931,50580,8207,182,0,58969,0
2021-01-05,50-59,22796,7744,15052,17895,4715,186,0,22796,0,77422,27146,50276,64891,11944,587,0,77422,0
2021-01-05,60-69,13529,7207,6322,10892,2289,348,0,13529,0,44532,25218,19314,37468,5930,1134,0,44532,0
2021-01-05,70-79,1474,925,549,574,201,699,0,1474,0,4576,2795,1781,1579,513,2484,0,4576,0
2021-01-05,80-89,1847,568,1279,89,148,1605,5,1847,0,6147,1726,4421,230,336,5558,23,6147,0
2021-01-05,90+,1641,260,1381,33,117,1491,0,1641,0,5251,760,4491,78,242,4921,10,5251,0
2021-01-06,16-19,53,23,30,32,21,0,0,53,0,194,90,104,92,90,12,0,194,0
2021-01-06,20-29,6643,2228,4415,5274,1333,36,0,6643,0,31671,10624,21047,27241,4333,97,0,31671,0
2021-01-06,30-39,10946,4398,6548,8610,2282,54,0,10946,0,57629,23579,34050,49131,8351,147,0,57629,0
2021-01-06,40-49,12847,4259,8588,10007,2747,93,0,12847,0,71816,24297,47519,60587,10954,275,0,71816,0
