data,area,nuovi_vaccinati,sesso_maschile,sesso_femminile,operatori_sanitari,personale_non_sanitario,ospiti_rsa,over80,prima_dose,seconda_dose,vaccinati_totale,sesso_maschile_totale,sesso_femminile_totale,operatori_sanitari_totale,personale_non_sanitario_totale,ospiti_rsa_totale,over80_totale,prima_dose_totale,seconda_dose_totale
2020-12-27,ABR,37,19,18,34,1,2,0,37,0,37,19,18,34,1,2,0,37,0
2021-01-02,ABR,548,218,330,540,8,0,0,548,0,585,237,348,574,9,2,0,585,0
2021-01-03,ABR,471,185,286,464,7,0,0,471,0,1056,422,634,1038,16,2,0,1056,0
2021-01-04,ABR,1401,575,826,1396,5,0,0,1401,0,2457,997,1460,2434,21,2,0,2457,0
2021-01-05,ABR,1614,604,1010,1604,10,0,0,1614,0,4071,1601,2470,4038,31,2,0,4071,0
2021-01-06,ABR,1830,664,1166,1546,151,133,0,1830,0,5901,2265,3636,5584,182,135,0,5901,0
2021-01-07,ABR,1603,552,1051,1566,37,0,0,1603,0,7504,2817,4687,7150,219,135,0,7504,0
2021-01-08,ABR,1525,507,1018,1487,38,0,0,1525,0,9029,3324,5705,8637,257,135,0,9029,0
2021-01-09,ABR,1483,565,918,1430,53,0,0,1483,0,10512,3889,6623,10067,310,135,0,10512,0
2021-01-10,ABR,1139,409,730,1091,48,0,0,1139,0,11651,4298,7353,11158,358,135,0,11651,0
2021-01-11,ABR,1551,557,994,1337,166,48,0,1551,0,13202,4855,8347,12495,524,183,0,13202,0
2021-01-12,ABR,1804,666,1138,1470,334,0,0,1804,0,15006,5521,9485,13965,858,183,0,15006,0
2021-01-13,ABR,1253,440,813,1103,150,0,0,1253,0,16259,5961,10298,15068,1008,183,0,16259,0
2021-01-14,ABR,530,189,341,364,166,0,0,530,0,16789,6150,10639,15432,1174,183,0,16789,0
2021-01-15,ABR,379,149,230,223,121,35,0,379,0,17168,6299,10869,15655,1295,218,0,17168,0
2021-01-16,ABR,587,239,348,449,123,15,0,587,0,17755,6538,11217,16104,1418,233,0,17755,0
2021-01-17,ABR,187,59,128,136,51,0,0,187,0,17942,6597,11345,16240,1469,233,0,17942,0
2021-01-18,ABR,122,48,74,106,14,2,0,46,76,18064,6645,11419,16346,1483,235,0,17988,76
2021-01-19,ABR,111,55,56,27,34,50,0,91,20,18175,6700,11475,16373,1517,285,0,18079,96
2020-12-27,BAS,105,40,65,104,1,0,0,105,0,105,40,65,104,1,0,0,105,0
2021-01-02,BAS,929,371,558,830,99,0,0,929,0,1034,411,623,934,100,0,0,1034,0
2021-01-03,BAS,895,341,554,783,112,0,0,895,0,1929,752,1177,1717,212,0,0,1929,0
2021-01-04,BAS,605,270,335,516,89,0,0,605,0,2534,1022,1512,2233,301,0,0,2534,0
2021-01-05,BAS,925,397,528,684,241,0,0,925,0,3459,1419,2040,2917,542,0,0,3459,0
2021-01-06,BAS,288,124,164,135,117,36,0,288,0,3747,1543,2204,3052,659,36,0,3747,0
2021-01-07,BAS,641,320,321,280,332,29,0,641,0,4388,1863,2525,3332,991,65,0,4388,0
2021-01-08,BAS,555,220,335,256,239,60,0,555,0,4943,2083,2860,3588,1230,125,0,4943,0
2021-01-09,BAS,556,161,395,279,210,67,0,556,0,5499,2244,3255,3867,1440,192,0,5499,0
2021-01-10,BAS,77,24,53,9,68,0,0,77,0,5576,2268,3308,3876,1508,192,0,5576,0
2021-01-11,BAS,181,64,117,77,64,40,0,181,0,5757,2332,3425,3953,1572,232,0,5757,0
2021-01-12,BAS,214,87,127,38,78,98,0,214,0,5971,2419,3552,3991,1650,330,0,5971,0
2021-01-13,BAS,913,384,529,573,192,148,0,913,0,6884,2803,4081,4564,1842,478,0,6884,0
2021-01-14,BAS,967,411,556,399,247,321,0,967,0,7851,3214,4637,4963,2089,799,0,7851,0
2021-01-15,BAS,809,347,462,449,188,172,0,809,0,8660,3561,5099,5412,2277,971,0,8660,0
2021-01-16,BAS,722,303,419,265,296,161,0,722,0,9382,3864,5518,5677,2573,1132,0,9382,0
2021-01-17,BAS,322,130,192,93,176,53,0,322,0,9704,3994,5710,5770,2749,1185,0,9704,0
2021-01-18,BAS,456,155,301,358,56,42,0,357,99,10160,4149,6011,6128,2805,1227,0,10061,99
2021-01-19,BAS,202,84,118,82,75,45,0,202,0,10362,4233,6129,6210,2880,1272,0,10263,99
