area,data,dosi_pfizer,dosi_moderna,totale_pfizer,totale_moderna
ABR,2020-12-27,135,0,135,0
ABR,2020-12-30,7800,0,7935,0
ABR,2021-01-05,3900,0,11835,0
ABR,2021-01-07,3900,0,15735,0
ABR,2021-01-11,3900,0,19635,0
ABR,2021-01-12,4875,0,24510,0
ABR,2021-01-13,0,1300,24510,1300
BAS,2020-12-27,105,0,105,0
BAS,2020-12-31,4875,0,4980,0
BAS,2021-01-05,2925,0,7905,0
BAS,2021-01-11,3900,0,11805,0
BAS,2021-01-12,1950,0,13755,0
CAL,2020-12-27,280,0,280,0
CAL,2020-12-31,8775,0,9055,0
CAL,2021-01-01,3900,0,12955,0
CAL,2021-01-05,12675,0,25630,0
CAL,2021-01-12,13650,0,39280,0
CAM,2020-12-27,720,0,720,0
CAM,2020-12-30,26325,0,27045,0
CAM,2020-12-31,5850,0,32895,0
CAM,2021-01-01,975,0,33870,0
CAM,2021-01-05,23400,0,57270,0
CAM,2021-01-07,9750,0,67020,0
CAM,2021-01-11,6825,0,73845,0
CAM,2021-01-12,27300,0,101145,0
CAM,2021-01-13,0,8200,101145,8200
EMR,2020-12-27,975,0,975,0
EMR,2020-12-30,42900,0,43875,0
EMR,2021-01-05,15600,0,59475,0
EMR,2021-01-07,28275,0,87750,0
EMR,2021-01-11,10725,0,98475,0
EMR,2021-01-12,33150,0,131625,0
EMR,2021-01-13,0,7400,131625,7400
FVG,2020-12-27,265,0,265,0
FVG,2020-12-30,11700,0,11965,0
FVG,2021-01-05,7800,0,19765,0
FVG,2021-01-07,4875,0,24640,0
FVG,2021-01-11,1950,0,26590,0
FVG,2021-01-12,10725,0,37315,0
LAZ,2020-12-27,955,0,955,0
LAZ,2020-12-30,44850,0,45805,0
LAZ,2021-01-05,15600,0,61405,0
LAZ,2021-01-07,26325,0,87730,0
LAZ,2021-01-11,6825,0,94555,0
LAZ,2021-01-12,38025,0,132580,0
LAZ,2021-01-13,0,7500,132580,7500
LIG,2020-12-27,320,0,320,0
LIG,2020-12-30,15600,0,15920,0
LIG,2021-01-05,12675,0,28595,0
LIG,2021-01-07,1950,0,30545,0
LIG,2021-01-11,2925,0,33470,0
LIG,2021-01-12,13650,0,47120,0
LOM,2020-12-27,1620,0,1620,0
LOM,2020-12-30,78975,0,80595,0
LOM,2021-01-05,30225,0,110820,0
LOM,2021-01-07,43875,0,154695,0
LOM,2021-01-11,1950,0,156645,0
LOM,2021-01-12,78975,0,235620,0
MAR,2020-12-27,200,0,200,0
MAR,2020-12-30,8775,0,8975,0
MAR,2021-01-05,6825,0,15800,0
MAR,2021-01-07,1950,0,17750,0
MAR,2021-01-12,9750,0,27500,0
MAR,2021-01-13,0,1500,27500,1500
MOL,2020-12-27,50,0,50,0
MOL,2020-12-30,975,0,1025,0
MOL,2020-12-31,1950,0,2975,0
MOL,2021-01-05,1950,0,4925,0
MOL,2021-01-11,2925,0,7850,0
MOL,2021-01-12,975,0,8825,0
PAB,2020-12-27,145,0,145,0
PAB,2020-12-30,5850,0,5995,0
PAB,2021-01-07,6825,0,12820,0
PAB,2021-01-11,6825,0,19645,0
PAT,2020-12-27,100,0,100,0
PAT,2020-12-30,4875,0,4975,0
PAT,2021-01-05,1950,0,6925,0
PAT,2021-01-07,2925,0,9850,0
PAT,2021-01-12,5850,0,15700,0
PIE,2020-12-27,910,0,910,0
PIE,2020-12-30,39975,0,40885,0
PIE,2021-01-05,20475,0,61360,0
PIE,2021-01-07,21450,0,82810,0
PIE,2021-01-12,40950,0,123760,0
PUG,2020-12-27,505,0,505,0
PUG,2020-12-31,21450,0,21955,0
PUG,2021-01-01,3900,0,25855,0
PUG,2021-01-05,5850,0,31705,0
PUG,2021-01-07,16575,0,48280,0
PUG,2021-01-11,26325,0,74605,0
SAR,2020-12-27,180,0,180,0
SAR,2020-12-31,12675,0,12855,0
SAR,2021-01-05,6825,0,19680,0
SAR,2021-01-12,13650,0,33330,0
SIC,2020-12-27,685,0,685,0
SIC,2020-12-31,45825,0,46510,0
SIC,2021-01-05,32175,0,78685,0
SIC,2021-01-12,46800,0,125485,0
SIC,2021-01-13,0,6600,125485,6600
TOS,2020-12-27,620,0,620,0
TOS,2020-12-30,27300,0,27920,0
TOS,2021-01-05,3900,0,31820,0
TOS,2021-01-07,20475,0,52295,0
TOS,2021-01-12,28275,0,80570,0
TOS,2021-01-13,0,5300,80570,5300
UMB,2020-12-27,85,0,85,0
UMB,2020-12-30,4875,0,4960,0
UMB,2021-01-05,4875,0,9835,0
UMB,2021-01-12,5850,0,15685,0
UMB,2021-01-13,0,1000,15685,1000
VDA,2020-12-27,20,0,20,0
VDA,2020-12-30,975,0,995,0
VDA,2021-01-05,975,0,1970,0
VDA,2021-01-12,1950,0,3920,0
VDA,2021-01-13,0,200,3920,200
VEN,2020-12-27,875,0,875,0
VEN,2020-12-30,38025,0,38900,0
VEN,2021-01-05,4875,0,43775,0
VEN,2021-01-07,34125,0,77900,0
VEN,2021-01-12,39000,0,116900,0
VEN,2021-01-13,0,7800,116900,7800
