nome,area,NUTS2,popolazione_2020
Molise,MOL,ITF2,300516
Puglia,PUG,ITF4,3953305
Basilicata,BAS,ITF5,553254
Abruzzo,ABR,ITF1,1293941
Umbria,UMB,ITI2,870165
Marche,MAR,ITI3,1512672
Lombardia,LOM,ITC4,10027602
Piemonte,PIE,ITC1,4311217
Liguria,LIG,ITC3,1524826
Emilia-Romagna,EMR,ITH5,4464119
Provincia Autonoma Bolzano / Bozen,PAB,ITH1,532644
Veneto,VEN,ITH3,4879133
Friuli-Venezia Giulia,FVG,ITH4,1206216
Toscana,TOS,ITI1,3692555
Provincia Autonoma Trento,PAT,ITH2,545425
Sardegna,SAR,ITG2,1611621
Lazio,LAZ,ITI4,5755700
Valle d'Aosta / Vallée d'Aoste,VDA,ITC2,125034
Calabria,CAL,ITF6,1894110
Sicilia,SIC,ITG1,4875290
Campania,CAM,ITF3,5712143
